,Date Of Upload,Author,Vertical,Headline,Description
96,"March 29, 2016 12:31 IST",Kritika Sharma Sebastian,Colleges,New system fails to enthuse DU students,"The choice-based credit system at Delhi University brings with it increased number of courses and costs, leaving students hassled."
97,"August 01, 2015 17:53 IST",PTI,National,"No end in sight to Parliament logjam as Centre, Congress stick to stand","Congress demands resignation of External Affairs Minister Sushma Swaraj, Rajasthan Chief Minister Vasundhara Raje and Madhya Pradesh Chief Minister Shivraj Singh Chouhan on the agenda of Monday’s all-party meeting."
98,"August 01, 2015 16:49 IST",PTI,National,"All-party meet should discuss action against BJP trio, says Congress",The party says its participation depends on a “tangible” proposal from the Prime Minister.
99,"March 29, 2016 12:31 IST",Staff Reporter,National,"39 die in Bengal due to flood-like situations,rain disrupts public life in Kolkata",No Description
100,"August 01, 2015 13:31 IST",PTI,National,Pak. rangers violate ceasefire,No Description
101,"August 01, 2015 12:48 IST",Staff Reporter,National,Gopikrishna’s family anxiously await his release,"According to his friends, he has not been happy in Libya for the last one year with political disturbance and insurgency."
102,"August 01, 2015 07:07 IST",AP,National,"India, Bangladesh swap border enclaves, settle old dispute",Television images showed people bursting firecrackers and raising the tri-colour in the Masaldanga enclave.
103,"August 01, 2015 03:26 IST",Rahi Gaikwad,National,Verdict on Nestle’s plea on Monday,"Interests of consumers more important, says Bombay HC."
104,"August 01, 2015 03:20 IST",Legal Correspondent,National,"Take over all Vyapam cases, SC tells CBI",No Description
105,"August 01, 2015 03:16 IST",Sanjay Vijayakumar,National,DGCA orders removal of AI flight safety chief,It was found that the airline did not maintain proper flight monitoring data.
106,"August 01, 2015 03:12 IST",Puja Mehra,National,"Centre to pump Rs. 70,000 cr. into PSU banks",No Description
107,"August 01, 2015 03:10 IST",Jatin Gandhi,National,Rajnath blames UPA’s 'Hindu terror’ focus,‘Its stand helped terrorists from across the border’
108,"August 01, 2015 03:01 IST",Suhasini Haidar,National,"Four Indians abducted in Libya, 2 freed",Faculty at Sirte University were on their way out of the country.
109,"August 01, 2015 02:21 IST",Jatin Gandhi,National,Govt. calls all-party meet to end House logjam,Venkaiah Naidu blames Congress for stalling growth.
110,"August 01, 2015 02:12 IST",Special Correspondent,National,Pakistani woman without papers detained,No Description
111,"August 01, 2015 02:06 IST",Omar Rashid,National,Polarised opinion over Yakub Memon’s hanging,No Description
112,"August 01, 2015 01:47 IST",National Bureau,National,Ministry of Home Affairs meet to discuss counter-radicalisation steps,‘Attraction towards radical ideology of any religion is a matter of concern’.
113,"August 01, 2015 01:40 IST",Shiv Sahay Singh,National,Bangladeshi enclaves still have nowhere people,No Description
114,"August 01, 2015 00:48 IST",Suhasini Haidar,National,Indians abducted in Libya: Release of two captives raises hopes,No Description
115,"August 01, 2015 00:42 IST",Mohit M. Rao,National,Job seekers prefer safer Gulf countries,Debts compel many Indians to work in strife-torn countries.
116,"August 01, 2015 00:37 IST",Vishwa Kundapura,National,Indians abducted in Libya: Trauma ends for this Bengaluru family,No Description
117,"August 01, 2015 00:34 IST",Kumar Buradikatti,National,Indians abducted in Libya: Elated kin await Lakshmikanth’s return to Raichur,No Description
118,"August 01, 2015 00:31 IST",Dinakar Peri,National,To keep the wolf from the door,No Description
119,"August 01, 2015 15:34 IST",V. Raghavendra,Andhra Pradesh,"Centre should extend full cooperation to AP, says CM",No Description
120,"August 01, 2015 14:29 IST",M. L. Melly Maitreyi,Andhra Pradesh,AP mulling import of onions to tide over shortage,Onions are being sold upwards of Rs. 40/kg in many areas
121,"August 01, 2015 00:00 IST",Special Correspondent,Andhra Pradesh,"Withdraw support to NDA, YSR Congres tells Naidu",No Description
